date,height(m),temperature(C)
3/24/2019 2:30,9,11.14
3/24/2019 2:30,8,11.14
3/24/2019 2:30,7,11.14
3/24/2019 2:30,6,11.11
3/24/2019 2:30,5,11.04
3/24/2019 2:30,4,10.88
3/24/2019 2:30,3,10.85
3/24/2019 2:30,2,10.8
3/24/2019 2:30,1,10.56
3/24/2019 2:30,0.5,10.34
3/24/2019 3:30,10.69,11.13
3/24/2019 3:30,10,11.13
3/24/2019 3:30,9,11.13
3/24/2019 3:30,8,11.13
3/24/2019 3:30,7,11.13
3/24/2019 3:30,6,11.08
3/24/2019 3:30,5,11.05
3/24/2019 3:30,4,11.04
3/24/2019 3:30,3,10.94
3/24/2019 3:30,2,10.92
3/24/2019 3:30,1,10.78
3/24/2019 3:30,0.5,10.61
3/24/2019 4:30,10.69,11.21
3/24/2019 4:30,10,11.21
3/24/2019 4:30,9,11.21
3/24/2019 4:30,8,11.21
3/24/2019 4:30,7,11.21
3/24/2019 4:30,6,11.18
3/24/2019 4:30,5,11.12
3/24/2019 4:30,4,11.11
3/24/2019 4:30,3,11.04
3/24/2019 4:30,2,10.97
3/24/2019 4:30,1,10.88
3/24/2019 4:30,0.5,10.79
3/24/2019 5:30,10.69,11.29
3/24/2019 5:30,10,11.29
3/24/2019 5:30,9,11.29
3/24/2019 5:30,8,11.29
3/24/2019 5:30,7,11.29
3/24/2019 5:30,6,11.24
3/24/2019 5:30,5,11.21
3/24/2019 5:30,4,11.14
3/24/2019 5:30,3,11.04
3/24/2019 5:30,2,10.97
3/24/2019 5:30,1,10.9
3/24/2019 5:30,0.5,10.82
3/24/2019 6:30,10.67,11.29
3/24/2019 6:30,10,11.29
3/24/2019 6:30,9,11.29
3/24/2019 6:30,8,11.29
3/24/2019 6:30,7,11.29
3/24/2019 6:30,6,11.17
3/24/2019 6:30,5,11.09
3/24/2019 6:30,4,11.01
3/24/2019 6:30,3,10.94
3/24/2019 6:30,2,10.91
3/24/2019 6:30,1,10.5
3/24/2019 6:30,0.5,10.34
3/24/2019 7:30,10.66,11.25
3/24/2019 7:30,10,11.25
3/24/2019 7:30,9,11.25
3/24/2019 7:30,8,11.25
3/24/2019 7:30,7,11.25
3/24/2019 7:30,6,11.11
3/24/2019 7:30,5,11.04
3/24/2019 7:30,4,10.95
3/24/2019 7:30,3,10.91
3/24/2019 7:30,2,10.7
3/24/2019 7:30,1,10.61
3/24/2019 7:30,0.5,10.4
3/24/2019 8:30,10.66,11.18
3/24/2019 8:30,10,11.18
3/24/2019 8:30,9,11.18
3/24/2019 8:30,8,11.18
3/24/2019 8:30,7,11.18
3/24/2019 8:30,6,11.16
3/24/2019 8:30,5,11.01
3/24/2019 8:30,4,10.92
3/24/2019 8:30,3,10.82
3/24/2019 8:30,2,10.76
3/24/2019 8:30,1,10.61
3/24/2019 8:30,0.5,10.39
3/24/2019 9:30,10.66,11.16
3/24/2019 9:30,10,11.16
3/24/2019 9:30,9,11.16
3/24/2019 9:30,8,11.16
3/24/2019 9:30,7,11.16
3/24/2019 9:30,6,11.16
